precision,recall,f1-score,support
0.06476828587381352,0.04148783977110158,0.05057771964246784,2796.0
0.030094043887147336,0.03349616189811584,0.03170409511228534,1433.0
0.11456628477905073,0.07358093903293624,0.08960955835289099,2854.0
0.19594997022036928,0.15189289012003693,0.17113133940182051,2166.0
0.07898448519040903,0.23779193205944799,0.11858125992588671,471.0
0.0,0.0,0.0,198.0
0.24640766365087813,0.10169119262025038,0.14396766169154226,4553.0
0.06433823529411764,0.06133177570093458,0.06279904306220095,1712.0
0.0,0.0,0.0,78.0
0.0,0.0,0.0,683.0
0.05490734385724091,0.13513513513513514,0.07808687164470474,592.0
0.02781740370898716,0.1,0.04352678571428571,390.0
0.0706163973668462,0.059445843828715365,0.06455142231947483,1985.0
0.23993558776167473,0.10658082975679542,0.14759782070331845,4194.0
0.0,0.0,0.0,81.0
0.16015200868621063,0.08201278843480678,0.10847582276153704,3597.0
0.0,0.0,0.0,246.0
0.005897219882055603,0.25925925925925924,0.011532125205930806,27.0
0.08443826632449387,0.08443826632449387,0.08443826632449387,0.08443826632449387
0.07524638500882226,0.08020592153430753,0.06234119586324146,28056.0
0.14296061047325406,0.08443826632449387,0.10097567513397607,28056.0
